horse,IV,A/E,PRB,PRB2
Prince Domino (GB),11.621,10,1,1
Spud One (GB),0,0,0.667,0.444
Cullen Road (IRE),0,0,0.4,0.16
River Bann (USA),0,0,0,0
Mana-Mou Bay (IRE),0,0,0,0
Andy Gin (FR),0,0,0.4,0.285
Rathcannon Man (IRE),0,0,0.692,0.479
Freddie Ed (GB),0,0,0.385,0.148
Posh Crack (GB),0,0,0.13,0.034
Go Classic (GB),0,0,0.656,0.485
Arvis Way (GB),0,0,0.538,0.29
French Bey (IRE),0,0,0.169,0.045
Certifiable (GB),0,0,0.231,0.053
True Tanner (GB),0,0,0.154,0.024
Loyalty Lodge (IRE),0,0,0.077,0.006
Tipo (GER),0,0,0,0
Lekka Ding (IRE),0,0,0.077,0.012
Montecristo (GB),0,0,0,0
Montpelier (IRE),0,0,0,0
Hawthorn Prince (IRE),7.748,12.593,0.667,0.667
Vitelucy (GB),0,0,0,0
Special Constable (GB),0,0,0,0
Random Precision (IRE),0,0,0.923,0.852
Waydale Hill (GB),0,0,0.493,0.339
Lambrini Bianco (IRE),2.324,1.707,0.453,0.361
Our Man Dennis (GB),0,0,0,0
Bellefleur (GB),0,0,0,0
Green Master (POL),0,0,0,0
Snargate (GB),0,0,0.545,0.372
Thunder Child (GB),0,0,0.523,0.274
Red Autumn (GB),0,0,0.125,0.031
Derry Dice (GB),0,0,0,0
Roman Consul (IRE),0,0,0,0
Noaff (IRE),0,0,0,0
Arthur Pendragon (GB),0,0,0.139,0.058
Weresmimum (GB),0,0,0,0
Aegean I (GB),0,0,0.875,0.766
Dublin Hunter (IRE),4.981,1.698,0.852,0.755
I Havnt A Cent (IRE),0,0,0.482,0.334
Baron De Feypo (IRE),2.734,2.282,0.689,0.547
Noble Spy (IRE),0,0,0.259,0.202
Lady Baronette (GB),0,0,0.231,0.107
Call Oscar (IRE),3.874,1.622,0.863,0.757
Unlimited Free (IRE),0,0,0.6,0.36
Springwood White (GB),0,0,0,0
Lough Rynn (IRE),0,0,0.333,0.222
Workaway (GB),0,0,0,0
Rhetoric I (IRE),0,0,0,0
Willows Gate (GB),0,0,0.5,0.25
Count Campioni (IRE),0,0,0.25,0.125
Classify I (GB),0,0,0,0
The Grey Baron (GB),0,0,0,0
Uncle Neil (IRE),0,0,0,0
Society Buck (IRE),0,0,0.433,0.195
Oro Street (IRE),0,0,0.042,0.005
Yer Fathers Yacht (IRE),0,0,0,0
Be My Dream I (IRE),3.874,2.502,0.846,0.732
Sir DOrton (FR),5.811,5.793,0.5,0.5
Sing High (GB),0,0,0.75,0.562
Skip N Tune (IRE),0,0,0.375,0.141
Royal Maid (FR),0,0,0.429,0.184
Mill Lane (GB),0,0,0.143,0.041
Boomshakalaka (IRE),11.621,1.91,1,1
Malton (GB),0,0,0.867,0.751
Travelling Warrior (GB),0,0,0.733,0.538
Good Lord (GB),0,0,0.4,0.16
Burn Brook (GB),0,0,0.383,0.161
Brilliant Cut (GB),0,0,0.786,0.617
The Mighty Oak (GB),0,0,0.071,0.005
Rosemount King (USA),0,0,0.233,0.109
La Rose I (GB),0,0,0,0
Mr Nemo (IRE),0,0,0.071,0.02
Fast Cindy (USA),0,0,0.444,0.198
Joey Tribbiani (IRE),11.621,8,1,1
Per Amore (IRE),0,0,0.095,0.027
Finns Cross (IRE),2.905,2.522,0.751,0.589
Fertility (GB),0,0,0.167,0.028
Aljoash (IRE),0,0,0.692,0.479
Alto Bold (GB),0,0,0,0
Woodstock Express (GB),0,0,0,0
Mr Tee Pee (IRE),0,0,0.636,0.405
Freindlypersuasion (GB),0,0,0.227,0.103
Iceberge (IRE),11.621,4,1,1
Mister Bean (FR),0,0,0.4,0.16
Four Eagles (USA),0,0,0.416,0.223
Bythehokey (IRE),0,0,0.469,0.283
Mr Lehman (GB),0,0,0.357,0.128
Tragic Ohio (GB),0,0,0,0
Day Of Claies (FR),3.874,1.634,0.83,0.708
Taurus Oats (GB),0,0,0,0
College Ace (IRE),11.621,8,1,1
Moscow Mary (GB),0,0,0.182,0.033
Hurricane Floyd (IRE),0,0,0.167,0.028
Dunmaglass (USA),0,0,0.2,0.04
Chase The Fox (GB),0,0,0,0
Reformation (IRE),0,0,0,0
Faithfull Girl (IRE),0,0,0,0
Champara (IRE),11.621,5,1,1
Wafani (GB),0,0,0,0
Monash Girl (IRE),0,0,0.303,0.093
Melee (GB),0,0,0,0
Inspector Blue (GB),0,0,0,0
Kincaid (GB),0,0,0.112,0.013
Erhgent Sea (GB),0,0,0.056,0.006
Petite Rouge (GB),0,0,0,0
Amethyst Rock (GB),0,0,0,0
Luckylover (GB),0,0,0.5,0.25
Rhapsody In Silver (FR),0,0,0,0
Murtakez (GB),0,0,0,0
Present Company (IRE),0,0,0.238,0.17
Heckley Clare Glen (GB),0,0,0,0
Hardrada (IRE),0,0,0.267,0.071
Con Tricks (GB),0,0,0,0
Copper Coin (IRE),0,0,0,0
Private Note (GB),0,0,0.909,0.826
Midnight Spur (IRE),0,0,0.545,0.298
Shambolina (GB),0,0,0.227,0.054
Lawood (IRE),0,0,0.385,0.148
Reelinga (GB),0,0,0.56,0.377
Dharkan (USA),0,0,0.231,0.053
Wavertree Boy (IRE),0,0,0.769,0.592
West Hill Gail (IRE),0,0,0,0
Venice Road (IRE),11.621,5.5,1,1
Lathyrus (FR),0,0,0.615,0.385
Noviciate (IRE),0,0,0.215,0.047
Osokenda (GB),0,0,0.038,0.003
Gayczar (GB),0,0,0,0
Ile Facile (IRE),0,0,0.692,0.479
All Things Equal (IRE),0,0,0.769,0.592
Another Diamond (IRE),0,0,0.529,0.329
Spread The Dream (GB),0,0,0.077,0.006
Darcey Mae (GB),0,0,0.25,0.125
Silent Guest (IRE),0,0,0.4,0.16
Jaybeedee (GB),0,0,0.207,0.104
Birchall (IRE),0,0,0.412,0.181
No Remorse (GB),0,0,0.417,0.174
See You Man (GB),0,0,0,0
Ever An Optimist (GB),0,0,0,0
Ready To Rumble (IRE),0,0,0.889,0.79
Gladiatorial I (IRE),0,0,0.556,0.309
Sir NormanI (GB),0,0,0.222,0.099
Sarobar (IRE),0,0,0.479,0.319
Dear Sir (IRE),0,0,0,0
Dantie Boy (IRE),0,0,0.636,0.405
Barton Saint (NZ),0,0,0,0
Robyn Alexander (IRE),0,0,0.68,0.472
Lord Kernow (IRE),0,0,0.802,0.643
Earnest (IRE),0,0,0.364,0.132
Im Innocent (GB),0,0,0.182,0.033
Daliadot (GB),0,0,0.111,0.025
Prideoftheyankees (IRE),5.811,1.957,0.955,0.913
Dubious Deal (GB),0,0,0.182,0.033
Icy Belle (IRE),0,0,0.731,0.541
Roymillon (GER),0,0,0,0
Major Jon (IRE),1.056,1.042,0.578,0.406
Valley Ger (IRE),0,0,0.398,0.186
Pedlers Profiles (GB),0,0,0.767,0.598
Pop Gun (GB),0,0,0.731,0.573
Doctor Wood (GB),5.811,13.887,0.733,0.609
Gentleman Jimmy (GB),3.874,2.769,0.757,0.609
Mister Knight (IRE),0,0,0.667,0.444
So Long (GB),0,0,0.591,0.363
Jasper (GB),0,0,0,0
Acambo (GER),11.621,12.102,1,1
Mick Jerome (IRE),0,0,0.808,0.657
Mega DEstruval (FR),0,0,0.308,0.095
Regal Bandit (IRE),0,0,0.637,0.454
Joe Deane (IRE),0,0,0.213,0.105
Hors La Loi III (FR),11.621,3.25,1,1
Charalambous (USA),0,0,0,0
Jorodama King (GB),0,0,0.583,0.34
Neveesou (FR),11.621,2.5,1,1
Lady Wurzel (GB),0,0,0.154,0.024
Dodger McCartney (GB),0,0,0.3,0.09
Loustic Collonges (FR),0,0,0,0
Tandawizi (GB),0,0,0.167,0.056
Solway Queen (IRE),0,0,0,0
Lord Chesters (IRE),0,0,0.546,0.32
The Longfella (GB),0,0,0.615,0.379
Duncrievie Gale (GB),0,0,0,0
Park Supreme (IRE),0,0,0.9,0.81
Chomolunga (FR),0,0,0,0
Joyful Echo (GB),0,0,0.3,0.09
Charlie Edwards (IRE),0,0,0.045,0.004
Montys Double (IRE),5.811,2.5,0.778,0.654
Quarterstaff (GB),0,0,0.444,0.198
Just Scooby (GB),0,0,0.083,0.014
Steve The Fish (IRE),0,0,0.208,0.13
Croft Court (GB),0,0,0.546,0.32
Solway Sunset (GB),0,0,0.2,0.04
Strawberry Patch (IRE),0,0,0.178,0.045
Kharaline (IRE),0,0,0,0
Web Racer (IRE),0,0,0.048,0.007
Glamaraazi (IRE),0,0,0.636,0.405
Wells OWearie (GB),0,0,0.182,0.033
Inn A Spin (IRE),0,0,0.167,0.028
Distinctly Jim (IRE),0,0,0.369,0.245
Hahns Peak (GB),0,0,0,0
Eabha (IRE),0,0,0,0
Musical Echo (GB),0,0,0.675,0.461
Vanilla Delight (IRE),5.811,10.359,0.833,0.722
Lamitta (GB),0,0,0.083,0.007
Dark Chapel (GB),0,0,0,0
Polyarnoe Bay (GB),0,0,0.583,0.34
Gollyhott (IRE),0,0,0,0
Lindas Theatre (GB),11.621,2.5,1,1
Another Lord I (IRE),0,0,0.75,0.562
Mickey Croke (GB),0,0,0,0
Bob The Piler (GB),0,0,0.812,0.66
Robert The Bruce (GB),0,0,0,0
Hugo De Grez (FR),0,0,0.25,0.125
Stoneravinmad (GB),5.811,3.238,0.833,0.722
Clemax (IRE),0,0,0.7,0.49
Paperchaser (GB),0,0,0.192,0.074
Numero Un De Solzen (FR),11.621,41,1,1
Noir Et Vert (FR),0,0,0.568,0.338
Ley Preacher (IRE),0,0,0,0
Thosewerethedays (GB),0,0,0.615,0.379
Moorside Princess (GB),0,0,0.222,0.049
Bond Playboy (GB),0,0,0.105,0.011
Now And Zen (GB),0,0,0,0
Attack Minded (GB),0,0,0,0
Alpine Reel (IRE),11.621,7.116,1,1
Deserted Island (IRE),0,0,0.167,0.056
Ferroli (GB),0,0,0,0
Jabraan (USA),0,0,0.778,0.605
Satisfaction (IRE),0,0,0.375,0.141
Pertemps Green (GB),0,0,0.727,0.529
Jack Frost Nipping (USA),0,0,0.7,0.49
Direct Debit (IRE),0,0,0.556,0.309
Bolckow (GB),0,0,0.444,0.198
Jember Red (GB),0,0,0,0
Guilia (GB),11.621,51,1,1
Osolomio (IRE),0,0,0,0
Sowerby (GB),0,0,0.333,0.111
Apetite (GB),0,0,0.222,0.049
Real Chief (IRE),0,0,0.4,0.16
Archie Clarke (GER),0,0,0,0
The Lordof Mystery (IRE),0,0,0,0
Woodlands Genpower (IRE),1.937,0.386,0.774,0.627
Dashing Dollar (IRE),0,0,0,0
Astormydayiscoming (GB),0,0,0.056,0.006
The Bar Maid (GB),0,0,0.784,0.616
Cleopatras Therapy (IRE),0,0,0,0
Senna Da Silva (GB),0,0,0.286,0.082
Volcano Snow (GB),0,0,0.143,0.02
Denarius (USA),0,0,0.208,0.087
Flexible Concience (IRE),0,0,0.465,0.225
Mixed Marriage (IRE),0,0,0.312,0.098
Kety Star (FR),0,0,0,0
Mariella (GER),0,0,0.667,0.444
Silent Appeal (GB),0,0,0,0
Perfect Match I (IRE),0,0,0.273,0.074
Ibin St James (GB),0,0,0.7,0.49
Mind The Gate (GB),0,0,0,0
Cash And New (IRE),3.874,1.673,0.904,0.825
Fionnulas Rainbow (IRE),0,0,0,0
Donnabella (GB),0,0,0,0
Danbys Gorse (GB),0,0,0,0
Kildorragh (IRE),0,0,0,0
Bay Of Plenty (GB),0,0,0.667,0.444
Ballyjohnboy Lord (IRE),1.453,0.852,0.631,0.547
Manitou Springs (GB),0,0,0,0
Chastleton Boy (IRE),0,0,0.75,0.562
Shining Joy (IRE),0,0,0.333,0.111
Marys Moment (GB),0,0,0,0
Auk (GB),0,0,0.643,0.413
Nafsika (USA),0,0,0,0
Red Hustler (IRE),0,0,0.857,0.735
The Thunderer (GB),0,0,0.417,0.174
Dans Man (GB),0,0,0.831,0.704
Alderman Rose (GB),0,0,0.5,0.25
Nikolaiev (FR),0,0,0.438,0.191
Katys Classic (IRE),0,0,0.156,0.049
My Good Lord (IRE),0,0,0.277,0.151
Drongo (GB),0,0,0.031,0.002
Red Alf (GB),0,0,0,0
Mr Bill (GB),0,0,0,0
Radigan Lane (GB),0,0,0.417,0.174
Silver Seline (GB),0,0,0.25,0.062
April Showers (GB),0,0,0.429,0.184
My Pal Val (IRE),11.621,4.33,1,1
Lancastrian Island (GB),0,0,0.278,0.154
Zadok The Priest (IRE),0,0,0.125,0.016
Kim Buck (FR),0,0,0,0
Munny Hill (GB),0,0,0.278,0.12
Montemoss (IRE),0,0,0,0
Silverpro (GB),0,0,0.222,0.049
Naked Flame (GB),0,0,0,0
Saratogane (FR),5.811,1.557,0.969,0.939
Zhivagos Princess (IRE),0,0,0.835,0.697
Mohayer (IRE),0,0,0.571,0.327
The Whispering Oak (IRE),0,0,0.143,0.02
Midnight Fury (GB),0,0,0,0
Cape Guard (GB),0,0,0.49,0.271
Lansdowne Princess (GB),0,0,0.556,0.309
Lagan Gunsmoke (GB),0,0,0.222,0.049
Black Collar (GB),0,0,0.714,0.51
Treaty Flyer (IRE),3.874,3.745,0.797,0.665
Lunar Fox (GB),0,0,0.25,0.125
Noun De La Thinte (FR),0,0,0.179,0.064
Astral Affair (IRE),0,0,0.463,0.215
Tiger Tips Lad (IRE),0,0,0.312,0.195
IronsideI (IRE),0,0,0.301,0.16
Deep Moon (IRE),0,0,0.717,0.561
Best Actor (IRE),0,0,0.8,0.64
Farmer Brent (IRE),0,0,0.733,0.538
Huron (FR),0,0,0.558,0.312
Beam Me Up (GB),0,0,0.1,0.02
Wine River (IRE),0,0,0.133,0.018
The Money Pit (GB),0,0,0.067,0.004
Blame The Ref (IRE),3.874,1.924,0.542,0.464
Something Gold (FR),0,0,0.357,0.128
Victor Daly (IRE),11.621,11,1,1
Rapallo (IRE),0,0,0.846,0.716
Nobile (FR),0,0,0.692,0.479
Just Jaffa (IRE),0,0,0.538,0.29
Green Collar (GB),0,0,0.462,0.213
Double Spread (GB),0,0,0.492,0.254
Hoober (GB),0,0,0.231,0.053
All Fun And Games (IRE),0,0,0.154,0.024
Fast Forward (NZ),0,0,0.885,0.787
Dutch Star (GB),0,0,0.583,0.34
Silver Rosa (GB),0,0,0.5,0.25
Bob Mountain (IRE),0,0,0.417,0.174
Another Chat (IRE),0,0,0.333,0.111
Tisfreetdream (IRE),0,0,0.438,0.227
Harbour Rock (IRE),0,0,0.083,0.007
Sherman Bay (GB),0,0,0,0
Ess Of Norway (FR),0,0,0.25,0.062
Lilian Rose (GB),0,0,0,0
Cracking Dawn (IRE),0,0,0.5,0.25
Tik-A-Tai (IRE),0,0,0,0
Tonys Pride (GB),0,0,0.133,0.036
Amiworthit (IRE),0,0,0.073,0.011
Hookedonafeeling (IRE),0.894,0.856,0.361,0.264
Another Dollar (IRE),0,0,0.278,0.231
Shotgun Willy (IRE),0,0,0,0
Bathwick Annie (GB),5.811,3.162,0.667,0.611
Heroic (IRE),0,0,0,0
DArgent (IRE),0,0,0.467,0.436
Alfasonic (GB),0,0,0.589,0.394
The Real Deal (IRE),0,0,0.525,0.351
Anothercoppercoast (IRE),2.324,1.218,0.78,0.657
Eluvaparty (GB),0,0,0.55,0.305
Incandescence (IRE),0,0,0.4,0.16
In No Hurry (IRE),0,0,0.267,0.071
Erins Love (IRE),0,0,0,0
Heathy Gore (GB),0,0,0,0
Clearly Now (IRE),11.621,4,1,1
Toothill Gunner (GB),0,0,0.667,0.444
Deuteronomy (IRE),0,0,0.333,0.111
Bluemantle Maggie (GB),0,0,0,0
Having A Party (GB),0,0,0.389,0.302
Come To The Bar (IRE),0,0,0.365,0.14
Crazy Mazie (GB),0,0,0,0
Pixley (GB),0,0,0.248,0.08
Callingwood (IRE),0,0,0,0
Tooka (GB),0,0,0.357,0.148
The Eens (GB),0,0,0.6,0.36
Game Gunner (GB),0,0,0,0
Hurricane Francis (GB),0,0,0.524,0.311
Shuil Mavourneen (IRE),0,0,0.2,0.04
Hutch (GB),0,0,0.059,0.003
Merry Path (IRE),5.811,3.6,0.733,0.609
Die Fledermaus (IRE),0,0,0.273,0.074
Deepritive (GB),0,0,0,0
Annies Answer (IRE),0,0,0.667,0.444
Anna Gee (GB),0,0,0.125,0.031
Daisy Fay (GB),0,0,0.286,0.082
Bobaway (IRE),0,0,0,0
Spike And Divel (IRE),0,0,0.419,0.176
Pay It Forward (GB),3.32,0.855,0.67,0.564
Bassett Tiger (IRE),2.905,1.298,0.406,0.348
Aide De Camp (FR),0,0,0.692,0.479
The Sneakster (IRE),0,0,0,0
Zen Garden (GB),0,0,0.727,0.529
Lady Roania (IRE),0,0,0.636,0.405
Thenford Lad (IRE),0,0,0.545,0.298
Bugle (GB),0,0,0.182,0.033
Ciarans Lass (GB),0,0,0.091,0.008
Alpine Fox (GB),0,0,0,0
InchAllah (FR),0,0,0,0
Sososimple (IRE),0,0,0.429,0.268
Paradise Garden I (USA),0,0,0.278,0.154
Navado (USA),0,0,0.493,0.365
Room Enough (GB),0,0,0.25,0.062
Eastern Dagger (GB),0,0,0.583,0.34
Lead Role (IRE),0,0,0,0
Broken Gale (IRE),0,0,0.623,0.423
Ela La Senza (IRE),0,0,0,0
New Team (FR),0,0,0.929,0.862
Hennessy (IRE),11.621,3.5,1,1
Nanard (FR),0,0,0.625,0.391
Le Milliardaire (FR),0,0,0,0
Phantom Footsteps (GB),0,0,0,0
Carthago (IRE),0,0,0,0
Triple Mint (IRE),0,0,0.714,0.51
Tuckers Bay (GB),0,0,0.143,0.02
WoodviewI (IRE),0,0,0.773,0.599
Staroski (GB),0,0,0,0
Supreme Toss (IRE),0,0,0.875,0.766
Finzi (IRE),0,0,0.861,0.742
Icare DOudairies (FR),0,0,0,0
Open Range (IRE),0,0,0.333,0.167
Rustarix (FR),0,0,0.889,0.79
Smokey Mountain (IRE),0,0,0.6,0.42
Dickie Lewis (GB),5.811,9.92,0.808,0.689
Osorno (GB),0,0,0,0
Golden Key (GB),0,0,0,0
Oh Golly Gosh (GB),0,0,0.222,0.099
Konker (GB),0,0,0.095,0.027
Euradream (IRE),0,0,0.72,0.537
Kealshore Lad (GB),0,0,0.926,0.857
Flemens River (IRE),0,0,0.643,0.413
Harpurs Girl (GB),0,0,0.464,0.217
Lindamarie (IRE),0,0,0.429,0.189
Guess What (GB),0,0,0.143,0.02
Lord Saxbury (GB),0,0,0,0
Palm Island (FR),0,0,0.857,0.735
Minster Park (GB),0,0,0.504,0.259
Jacobin (USA),0,0,0,0
Desert Tommy (GB),0,0,0.75,0.562
Bold Century (GB),0,0,0,0
The Mighty Dunne (IRE),0,0,0,0
Herons Cove (IRE),0,0,0.669,0.509
Classic Harry (GB),0,0,0.833,0.694
Mrs Higham (IRE),0,0,0.667,0.444
Bleak Friday (GB),0,0,0.417,0.174
Bobble Wonder (GB),0,0,0.225,0.062
Perfectly Posh (GB),0,0,0.25,0.062
Nasstar (GB),0,0,0.298,0.106
Tight Corner (IRE),0,0,0.083,0.007
Vincere (GB),0,0,0.038,0.003
Fashions Monty (IRE),0,0,0.733,0.538
Akarus (FR),0,0,0.467,0.218
Cowboyboots (IRE),0,0,0.15,0.045
Sandokan (GER),0,0,0.667,0.444
Villa (GB),0,0,0.875,0.766
Round The Horn (IRE),11.621,4,1,1
New Rock (FR),11.621,4.5,1,1
Ross River (GB),0,0,0.397,0.33
Indeed To Goodness (IRE),0,0,0.625,0.391
Whatamonkey (GB),0,0,0,0
Buckland Knight (IRE),0,0,0,0
Floral Dream (GB),0,0,0.588,0.346
Fizzywiz (GB),0,0,0.176,0.031
Noah Jameel (GB),0,0,0.857,0.735
Bonfire I (GB),0,0,0.429,0.184
Camp Commander (IRE),0,0,0.167,0.028
Tayman (IRE),0,0,0.633,0.429
Charissa (GB),0,0,0,0
Trempjane (GB),0,0,0.077,0.006
Teen House (GB),0,0,0.375,0.141
Lisaroon (IRE),0,0,0,0
Hip Pocket (IRE),0,0,0.389,0.154
Bengal Boy (GB),0,0,0,0
Loves Design (IRE),0,0,0.429,0.184
Elsinora (GB),0,0,0,0
Come To Daddy (IRE),0,0,0.079,0.009
Trusted Mole (IRE),0,0,0.585,0.344
Bee Minor (GB),0,0,0.308,0.095
Pop Princess (GB),0,0,0.437,0.191
Alfie Tupper (IRE),11.621,4,1,1
Island Babe (USA),0,0,0.182,0.033
Ground Rules I (USA),11.621,5.5,1,1
Platinum Hound (IRE),0,0,0.333,0.111
Brazen Hooker (IRE),0,0,0.225,0.124
Lerubis (FR),0,0,0.923,0.852
Mr Bently (GB),0,0,0,0
Sovietica (FR),11.621,17,1,1
Dillay Brook (IRE),0,0,0.899,0.808
Solent Sunbeam (GB),0,0,0.727,0.529
Miss Morfire (GB),0,0,0.545,0.298
Devon Blue (IRE),0,0,0.091,0.008
Spring Chick (GB),0,0,0,0
Classic Rock (GB),0,0,0.643,0.413
Confluence (IRE),0,0,0.647,0.419
First Tee (IRE),0,0,0,0
Tequinha (GB),0,0,0,0
Mere Conquest (GB),0,0,0,0
No Full (FR),0,0,0.2,0.08
First Centurion (GB),0,0,0.5,0.25
Belita (GB),11.621,26,1,1
Zuzu Summit (IRE),0,0,0.875,0.766
Aubigny (FR),0,0,0.688,0.473
Lets Cast Again (GB),0,0,0.5,0.25
Beckys Hill (GB),0,0,0.375,0.141
Just Smudge (GB),0,0,0.25,0.062
Incalotte (GB),0,0,0.125,0.016
Brackenorah (GB),0,0,0.062,0.004
Wizard Roc (GB),0,0,0,0
Royal Corrouge (IRE),11.621,8,1,1
Ostrogoth (FR),0,0,0.867,0.751
Lord Gunnerslake (IRE),0,0,0.46,0.327
Flinders Chase (GB),0,0,0,0
Aux Le Bahnn (IRE),11.621,4,1,1
Keenans Future (IRE),0,0,0.875,0.766
Beat The Boys (IRE),0,0,0.688,0.473
The Beaming Bandit (IRE),0,0,0.562,0.316
Mister Notorious (IRE),0,0,0.312,0.098
Pangbourne (FR),0,0,0.594,0.471
Dear Oh Dear (GB),0,0,0.062,0.004
Saunders Road (IRE),0,0,0,0
Tweed II (GB),0,0,0,0
Kickahead (USA),0,0,0.9,0.81
Bobalong (IRE),0,0,0,0
With Due Respect (GB),0,0,0,0
Barney Blue (IRE),0,0,0.045,0.004
Medkhan (IRE),0,0,0.062,0.004
Passenger Omar (IRE),11.621,6,1,1
Dr Mann (IRE),0,0,0.636,0.405
Razzamatazz (GB),0,0,0,0
Golden Tamesis (GB),0,0,0,0
Return Home (GB),2.905,1.597,0.73,0.567
Super Lord (IRE),5.811,3.36,0.875,0.781
Toy Boy (IRE),0,0,0.2,0.08
There Goes Wally (GB),0,0,0,0
Bosworth Gypsy (IRE),0,0,0.658,0.439
Gulshique (GB),0,0,0.533,0.284
Atlantic Jane (GB),0,0,0.467,0.218
Top Gale (IRE),0,0,0,0
Dargins Lass (IRE),0,0,0,0
King Bee (IRE),5.811,2.437,0.875,0.781
Allfriends (GB),0,0,0,0
Alice Jones (IRE),0,0,0,0
Zipadea (IRE),0,0,0,0
Sweet Ard (IRE),0,0,0.727,0.529
What DoIn (IRE),0,0,0.417,0.174
The Swopper (GB),0,0,0.25,0.062
Elverys (IRE),0,0,0.812,0.66
Ciaras Run (IRE),0,0,0.25,0.062
Pompeii (IRE),0,0,0.429,0.184
Bid Spotter (IRE),0,0,0.5,0.25
Michaels Joy (IRE),0,0,0,0
Samikin (IRE),0,0,0,0
Ryalux (IRE),0,0,0.4,0.16
Dix Huit Cyborg (FR),0,0,0.231,0.053
Almenara (GB),0,0,0.154,0.024
Octavio (GB),0,0,0.077,0.006
Fiddler Crab (GB),0,0,0,0
Pharnoon (GB),0,0,0,0
Zoffany I (IRE),0,0,0,0
Kings Crest (GB),0,0,0.769,0.592
Cappadrummin (IRE),0,0,0,0
Skillwise (GB),0,0,0,0
Briar (CZE),0,0,0,0
Travel Supreme (GB),0,0,0.143,0.02
Anaka Flight (GB),0,0,0,0
Peski Moose (GB),0,0,0.333,0.111
Trafalgar Man (IRE),0,0,0.761,0.581
Adeyon (GB),0,0,0.4,0.16
Dusky Dame (GB),0,0,0.35,0.123
Lasting Melody (IRE),0,0,0.2,0.04
Rathfriland (IRE),0,0,0,0
Stately Progress (IRE),0,0,0,0
Parsons Leap (IRE),0,0,0,0
Mount Pekan (IRE),0,0,0.136,0.019
Frankie Dori (IRE),1.66,1.774,0.643,0.518
San Francisco (GB),0,0,0.333,0.111
Strongtrooper (IRE),0,0,0.167,0.028
The Graduate (GB),0,0,0,0
Very Tasty (IRE),0,0,0.209,0.08
Coulthard I (IRE),0,0,0.154,0.024
Caipiroska (GB),0,0,0.625,0.391
Betterware Boy (GB),0,0,0.5,0.25
Our Tees Component (IRE),0,0,0.857,0.735
Hello Mrs (GB),0,0,0,0
Dark Diva (GB),0,0,0.364,0.264
Premium First (IRE),0,0,0.889,0.79
Dear Boy (GB),0,0,0.667,0.444
Wotabroad (GB),0,0,0,0
Flame Creek (IRE),0,0,0,0
Troll (FR),0,0,0.615,0.379
Jimmy Bond (GB),5.811,2.91,0.875,0.781
Ticket To Ride I (FR),0,0,0.083,0.007
Lookafterme (IRE),0,0,0.538,0.29
The Ringer (GB),0,0,0.385,0.148
Trawbreaga Bay (GB),0,0,0.308,0.095
Darcy Wells (GB),0,0,0.154,0.024
Hillary Harbour (IRE),0,0,0.139,0.039
Dafarabad (IRE),2.905,0.855,0.832,0.712
Springvic (IRE),0,0,0.68,0.466
Little Venus (IRE),0,0,0.833,0.694
Mi Fa Sol Aulmes (FR),0,0,0.778,0.605
Lady Wilde (IRE),0,0,0.722,0.522
More Likely (GB),0,0,0.389,0.151
Follow My Leader (IRE),0,0,0.222,0.049
Young Siouxsie (GB),0,0,0.111,0.012
Cherrys Echo (GB),0,0,0.056,0.003
Cooldine Lad (IRE),0,0,0,0
Abbotsford (IRE),0,0,0,0
Batto (GB),0,0,0.25,0.125
Bob Justice (IRE),1.66,1.427,0.577,0.376
Alfie Flits (GB),11.621,3.5,1,1
Astarador (FR),0,0,0.909,0.826
Raider Of The East (IRE),0,0,0.818,0.669
Tahaddi Turtle (IRE),0,0,0.727,0.529
Olmetta (FR),0,0,0.636,0.405
Golden Streak (IRE),0,0,0.545,0.298
Celtic Saloon (IRE),0,0,0.455,0.207
Insurgent (IRE),0,0,0.364,0.132
Hello Noddy (GB),0,0,0.182,0.033
Bora Shaamit (IRE),0,0,0.091,0.008
Windsor Boy (IRE),0,0,0.409,0.335
Cruise Leader (IRE),0,0,0,0
Fromragstoriches (IRE),0,0,0.8,0.64
Troysgreen (IRE),0,0,0.154,0.024
Aztec Prince (IRE),0,0,0.375,0.141
Tribal Suspect (IRE),0,0,0,0
Galen (IRE),0,0,0.667,0.444
Over The Beck (IRE),0,0,0,0
Venture To Fly (IRE),0,0,0,0
Kettysjames (IRE),0,0,0.557,0.428
Life Match (FR),0,0,0.357,0.172
Fanion De Neulliac (FR),0,0,0.111,0.012
French Fashion (IRE),0,0,0.74,0.553
Joemanchie (IRE),0,0,0.341,0.138
Full Kwai Ma (IRE),0,0,0.147,0.043
Millicent Fairways (IRE),0,0,0,0
Breaking Ball (IRE),0,0,0.438,0.191
Platium Starlight (IRE),0,0,0.558,0.356
Inse Bay (IRE),0,0,0.286,0.139
Working Class Hero (GB),0,0,0,0
Planet Ireland (IRE),0,0,0,0
Mystic Native (IRE),0,0,0,0
Beachcomber (GB),0,0,0,0
Cock Of The North (IRE),0,0,0,0
Cool Monty (IRE),11.621,5.5,1,1
Quiet Water (IRE),0,0,0,0
Phar Jeffen (IRE),0,0,0.455,0.207
Grey Shark (IRE),0,0,0,0
Jasper Rooney (GB),0,0,0,0
Pride Of Penlee (GB),0,0,0.2,0.04
Crafty Miss (IRE),0,0,0,0
Silver Jewel (IRE),0,0,0,0
Kingston-Banker (GB),0,0,0.75,0.562
Massimo (FR),0,0,0.308,0.095
